,City,Cloudiness,Country Code,Dated,Humidity,Latitude,Temperature,Wind Speed
427,Mettur,75,IN,1567310904,69,11.8,28.0,1.5
428,Nagua,100,DO,1567310980,95,19.37,23.67,1.39
429,Ambilobe,0,MG,1567310981,90,-13.19,18.27,1.98
430,General Roca,0,AR,1567310697,34,-39.03,9.0,2.1
431,Maragogi,4,BR,1567310962,95,-9.01,20.17,1.42
432,Ipixuna,40,BR,1567310981,88,-1.76,25.0,2.1
433,Rocha,0,UY,1567310982,86,-34.48,5.67,0.99
434,Flinders,0,AU,1567310982,24,-34.58,24.44,4.6
435,Codrington,0,AU,1567310982,40,-28.95,23.33,2.6
436,Mehamn,100,NO,1567310983,84,71.03,10.47,2.0
437,Road Town,1,VG,1567310983,83,18.42,27.22,1.5
438,Tezu,92,IN,1567310983,62,27.93,28.47,0.17
439,Jalu,0,LY,1567310984,45,29.03,21.07,3.04
440,Batagay-Alyta,2,RU,1567310984,40,67.8,11.77,2.16
441,Severnoye,100,RU,1567310984,79,54.09,8.37,3.14
442,Coronado,20,PA,1567310985,88,8.53,28.0,2.6
443,Bloomsburg,1,US,1567310985,93,41.0,17.78,1.98
444,Ceres,72,BR,1567310985,33,-15.31,23.07,0.82
445,Ouesso,100,CG,1567310986,92,1.61,21.47,1.3
446,Mangrol,20,IN,1567310986,89,25.33,29.0,0.72
447,Barra Patuca,0,HN,1567310986,71,15.8,28.77,4.44
448,Vila do Maio,75,CV,1567310987,83,15.13,26.0,1.0
449,Basco,90,US,1567310987,93,40.33,19.44,2.6
450,Guerrero Negro,2,MX,1567310987,88,27.97,20.37,6.0
451,Ekpoma,82,NG,1567310988,99,6.74,21.67,1.64
452,Vestmannaeyjar,81,IS,1567310988,82,63.44,8.07,5.62
453,Broome,100,GB,1567310988,93,52.47,11.67,3.1
454,Charters Towers,0,AU,1567310989,32,-20.07,25.77,2.33
455,Urucara,14,BR,1567310989,79,-2.54,24.57,0.77
456,Mount Gambier,75,AU,1567310989,71,-37.83,14.0,11.8
457,Mesyagutovo,100,RU,1567310990,91,55.53,6.17,2.96
458,Severo-Kurilsk,100,RU,1567310990,91,50.68,9.77,1.67
459,West Bay,75,CA,1567310990,82,49.34,21.67,2.1
460,Huambo,0,AO,1567310991,84,-12.78,11.17,0.81
461,Beysehir,0,TR,1567310991,53,37.68,14.57,0.99
462,Atar,17,MR,1567310992,46,20.52,32.87,4.92
463,Atbasar,100,KZ,1567310992,80,51.81,8.07,3.97
464,Abu Zabad,53,SD,1567310992,82,12.35,23.37,5.7
465,Viedma,1,AR,1567310993,63,-40.81,6.47,8.96
466,Pointe Michel,100,DM,1567310993,76,15.25,27.17,2.27
467,Haines Junction,93,CA,1567310993,43,60.75,11.57,2.66
468,Strathmore,90,CA,1567310994,87,51.04,13.33,2.1
469,Kiunga,59,PG,1567310994,56,-6.12,29.57,1.95
470,Gulu,0,UG,1567310994,95,2.77,16.97,0.78
471,Boulder,1,US,1567310970,49,40.02,24.0,1.11
472,Oussouye,75,SN,1567310995,100,12.49,25.0,1.0
473,Santa Maria,0,BR,1567310995,59,-16.02,19.0,1.5
474,Yulara,0,AU,1567310996,8,-25.24,29.0,2.1
475,Labytnangi,100,RU,1567310996,89,66.66,7.37,4.67
476,Igarka,42,RU,1567310996,80,67.47,14.27,2.06
477,Bacolod,84,PH,1567310997,78,10.68,27.27,3.78
478,Eyl,0,SO,1567310997,75,7.98,23.57,8.83
479,Petropavlovsk-Kamchatskiy,40,RU,1567310997,64,53.05,20.0,5.0
480,Aykhal,0,RU,1567310998,67,65.95,14.0,2.0
481,Powell River,75,CA,1567310998,77,49.84,19.0,2.6
482,Mondovi,1,US,1567310998,77,44.57,17.78,2.17
483,Hvide Sande,100,DK,1567310999,100,56.01,16.67,1.0
484,West Monroe,1,US,1567310999,88,32.52,25.0,1.98
485,Nevsehir,0,TR,1567311000,76,38.62,13.0,1.5
486,Port Blair,99,IN,1567311000,82,11.67,27.87,10.97
487,Pahalgam,0,IN,1567311001,83,34.03,17.97,1.22
488,Itarantim,0,BR,1567311001,96,-15.65,15.57,0.33
489,Mayo,75,CA,1567310911,37,63.59,19.0,2.6
490,Harper,1,US,1567311002,61,30.3,26.67,1.5
491,Kununurra,89,AU,1567311002,7,-15.77,33.0,6.2
492,Aklavik,20,CA,1567311002,62,68.22,8.0,4.1
493,Reconquista,0,AR,1567311003,72,-29.14,10.97,2.3
494,Mackenzie,90,CA,1567311003,51,55.34,17.0,2.1
495,Kharp,100,RU,1567311003,91,66.82,6.87,4.49
496,Concepcion del Oro,81,MX,1567311004,65,24.63,18.27,4.39
497,Tessalit,0,ML,1567311004,27,20.2,33.07,2.39
498,Rindal,100,NO,1567311004,80,63.05,10.77,3.39
499,Inhambane,56,MZ,1567311005,83,-23.87,21.27,6.18
500,Neyshabur,17,IR,1567310862,36,36.21,16.37,2.8
501,Gazanjyk,27,TM,1567311006,23,39.24,20.47,3.63
502,Toora-Khem,98,RU,1567311006,62,52.47,17.47,3.79
503,Arkhangelsk,90,RU,1567311006,100,64.54,11.0,1.0
504,Kawalu,99,ID,1567311007,60,-7.38,25.47,2.74
505,Vilhena,97,BR,1567311007,33,-12.74,28.57,1.31
506,Barguzin,99,RU,1567311008,37,53.62,18.17,0.53
507,Avera,1,US,1567311008,83,33.19,25.0,2.6
508,Encruzilhada do Sul,35,BR,1567311008,95,-30.54,9.77,2.09
509,Port-Gentil,100,GA,1567311009,87,-0.72,24.17,5.94
510,Clarence Town,75,AU,1567311009,68,-32.59,20.56,4.1
511,Carauari,37,BR,1567311009,62,-4.88,25.67,0.95
512,Dese,0,IT,1567311010,68,45.53,24.0,2.6
513,Suzun,0,RU,1567311011,57,53.78,13.07,6.86
514,Rawson,0,AR,1567311011,55,-43.3,3.97,5.82
515,Balabac,45,PH,1567311011,64,7.99,30.17,3.73
516,Gat,20,SN,1567311012,88,14.69,26.0,2.1
517,Sfantu Gheorghe,0,RO,1567311012,87,44.65,15.0,1.5
518,Burgeo,0,CA,1567311013,86,47.61,16.17,7.41
519,General Delgado,0,PY,1567311013,87,-27.09,14.0,2.1
520,Kletskaya,0,RU,1567311013,55,49.31,13.17,2.79
521,Nurota,91,UZ,1567311014,37,40.56,19.0,1.0
522,Kozhevnikovo,15,RU,1567311014,76,56.26,11.87,6.12
523,Sabang,100,PH,1567311014,78,13.8,26.27,1.05
524,Mahenge,15,TZ,1567311015,82,-8.68,21.17,2.84
525,Pacific Grove,1,US,1567311015,44,36.62,24.44,2.6
526,Fukuma,75,JP,1567310833,88,33.77,23.89,4.1
527,Togitsu,75,JP,1567311015,88,32.83,23.0,3.1
528,Hay River,75,CA,1567311016,57,60.82,10.0,3.6
529,Saint-Paul,90,FR,1567311016,87,45.22,16.67,1.0
530,Miranda,0,BR,1567311016,74,-20.24,22.37,1.65
531,Griffith,68,AU,1567311017,24,-34.29,23.33,4.6
532,Nizhneangarsk,100,RU,1567311017,62,55.78,12.47,1.37
533,Grand Island,90,US,1567311016,82,40.92,19.0,3.6
534,Tieli,66,CN,1567311018,80,46.98,20.27,6.05
535,Whitianga,100,NZ,1567311018,71,-36.83,15.56,0.89
536,Riberalta,11,BO,1567311018,51,-11.0,25.67,0.35
537,Taman,0,RU,1567311019,55,45.22,18.0,4.0
538,Omboue,86,GA,1567311019,87,-1.57,23.57,4.92
539,Darnah,0,LY,1567311019,72,32.77,25.57,7.01
540,Salym,100,RU,1567311020,98,60.06,9.77,1.72
541,Ngunguru,82,NZ,1567311020,69,-35.62,14.44,2.74
542,Santa Isabel,1,MX,1567311020,32,32.63,39.0,3.6
543,The Valley,20,AI,1567310886,78,18.22,28.33,2.1
544,Luzhou,100,CN,1567311021,91,28.89,21.17,0.31
